ruta	tipo	key	name_es	keywords_es	aliases_es	name_de	keywords_de	aliases_de	name_en	keywords_en	aliases_en
clima > Calefacción y ventilación	group	heating-and-ventilation	Calefacción y ventilación	calefacci|n|y|ventilaci	Calefacción y ventilación	Heizung und Lüftung	heizung|und|l|ftung	Heizung und Lüftung	Heating and ventilation	heating|and|ventilation	Heating and ventilation
Sistema de climatización > Aire acondicionado	group	air-conditioning	Aire acondicionado	aire|acondicionado	Aire acondicionado	Klimaanlage	klimaanlage	Klimaanlage	Air conditioning	air|conditioning	Air conditioning
Sistema de climatización > Tuberías y mangueras	group	pipes-and-hoses	Tuberías y mangueras	tuber|as|y|mangueras	Tuberías y mangueras	Rohre und Schläuche	rohre|und|schl|uche	Rohre und Schläuche	Pipes and hoses	pipes|and|hoses	Pipes and hoses
Sistema de refrigeración > Refrigeración	group	cooling-system	Refrigeración		Refrigeración	Kühlung		Kühlung	Cooling system	cooling system	Cooling system
Aceites y líquidos > Aceites y líquidos	group	oils-and-fluids	Aceites y líquidos	aceites|y|l|quidos	Aceites y líquidos	Öle & Flüssigkeiten	le|fl|ssigkeiten	Öle & Flüssigkeiten	Oils and fluids	oils|and|fluids	Oils and fluids
Ruedas y neumáticos > Neumáticos y productos relacionados	group	tires-and-related-products	Neumáticos y productos relacionados	neum|ticos|y|productos|relacionados	Neumáticos y productos relacionados	Reifen und verwandte Produkte	reifen|und|verwandte|produkte	Reifen und verwandte Produkte	Tires and related products	tires|and|related|products	Tires and related products
Motor > Filtros	group	filters	Filtros		Filtros	Filter		Filter	Filters		Filters
Motor > Motor	group	engine	Motor		Motor	Motor		Motor	Engine		Engine
Motor > Sistema de encendido y bujías de precalentamiento	group	ignition-and-glow-system	Sistema de encendido y bujías de precalentamiento	sistema de encendido y bujías de precalentamiento	Sistema de encendido y bujías de precalentamiento	Zündanlage & Glühanlage	zündanlage & glühanlage	Zündanlage & Glühanlage	Ignition and glow system	ignition and glow system	Ignition and glow system
Motor > Correas, cadenas y poleas	group	belts-chains-pulleys	Correas, cadenas y poleas	correas cadenas y poleas	Correas, cadenas y poleas	Riemen, Ketten, Rollen	riemen ketten rollen	Riemen, Ketten, Rollen	Belts, chains, pulleys	belts chains pulleys	Belts, chains, pulleys
Motor > Calefacción y ventilación	group	heating-and-ventilation	Calefacción y ventilación	calefacción y ventilación	Calefacción y ventilación	Heizung und Lüftung	heizung und lüftung	Heizung und Lüftung	Heating and ventilation	heating and ventilation	Heating and ventilation
Motor > Juntas y anillos de sellado	group	gaskets-and-sealing-rings	Juntas y anillos de sellado	juntas y anillos de sellado	Juntas y anillos de sellado	Dichtungen und Dichtringe	dichtungen und dichtringe	Dichtungen und Dichtringe	Gaskets and sealing rings	gaskets and sealing rings	Gaskets and sealing rings
Motor > Escape	group	exhaust-system	Escape	escape	Escape	Auspuff	auspuff	Auspuff	Exhaust system	exhaust system	Exhaust system
Motor > Sistema de combustible	group	fuel-system	Sistema de combustible	sistema de combustible	Sistema de combustible	Kraftstoffsystem	kraftstoffsystem	Kraftstoffsystem	Fuel system	fuel system	Fuel system
Motor > Ejes de transmisión y juntas	group	drive-shafts-and-joints	Ejes de transmisión y juntas	ejes de transmisión y juntas	Ejes de transmisión y juntas	Triebwerkseinheitswellen & Gelenke	triebwerkseinheitswellen & gelenke	Triebwerkseinheitswellen & Gelenke	Drive shafts and joints	drive shafts and joints	Drive shafts and joints
Motor > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación	Kits de reparación	Reparatursätze	reparatursätze	Reparatursätze	Repair kits	repair kits	Repair kits
Motor > Tuberías y mangueras	group	pipes-and-hoses	Tuberías y mangueras	tuberías y mangueras	Tuberías y mangueras	Rohre und Schläuche	rohre und schläuche	Rohre und Schläuche	Pipes and hoses	pipes and hoses	Pipes and hoses
Frenos > frenos	group	brakes-brakes	frenos			Bremsen			brakes		
Frenos > Kits de reparación	group	brakes-repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Frenos > Tuberías y mangueras	group	brakes-pipes-and-hoses	Tuberías y mangueras	tuberías y mangueras		Rohre und Schläuche	rohre und schläuche		Pipes and hoses	pipes and hoses	
sistema eléctrico > sistema eléctrico	group	electrical-system-electrical-system	sistema eléctrico			Elektrik			electrical system		
sistema eléctrico > Unidades de control, sensores, relés	group	electrical-system-control-units-sensors-relays	Unidades de control, sensores, relés	unidades de control sensores relés		Steuergeräte, Sensoren, Relais	steuergeräte sensoren relais		Control units, sensors, relays	control units sensors relays	
sistema eléctrico > Kits de reparación	group	electrical-system-repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Chasis y dirección > gobierno	group	chassis-and-steering-steering	gobierno	gobierno		Lenkung	lenkung		steering	steering	
Chasis y dirección > Enganche de remolque y accesorios	group	chassis-and-steering-towbar-and-accessories	Enganche de remolque y accesorios	enganche de remolque y accesorios		Anhängerkupplung und Zubehör	anhängerkupplung und zubehör		Towbar and accessories	towbar and accessories	
Chasis y dirección > Almacenamiento	group	chassis-and-steering-storage	Almacenamiento	almacenamiento		Lager	lager		Storage	storage	
Chasis y dirección > Kits de reparación	group	chassis-and-steering-repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Suspensión > Suspensión de ruedas y manillar	group	suspension-wheel-suspension-handlebars	Suspensión de ruedas y manillar	suspensión de ruedas y manillar		Radaufhängung & Lenker	radaufhängung & lenker		Wheel suspension & handlebars	wheel suspension & handlebars	
Suspensión > suspensión	group	suspension-suspension	suspensión			Federung			suspension		
Transmisión > Embrague/accesorios	group	transmission-clutch-attachments	Embrague/accesorios	embrague accesorios		Kupplung/-anbauteile	kupplung -anbauteile		Clutch/attachments	clutch attachments	
Transmisión > transmisión	group	transmission-transmission	transmisión			Getriebe			transmission		
Transmisión > Ejes cardán y diferencial	group	transmission-cardan-shafts-differential	Ejes cardán y diferencial	ejes cardán y diferencial		Kardanwellen & Differential	kardanwellen & differential		Cardan shafts & differential	cardan shafts & differential	
Transmisión > Kits de reparación	group	transmission-repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Interior > interior-interior	group	interior-interior				Innenraum			interior		
Carrocería > Sistema lavaparabrisas	group	body-windscreen-washer-system	Sistema lavaparabrisas			Scheibenwaschanlage			Windscreen washer system		
Carrocería > cuerpo	group	body-body	cuerpo			Karosserie			body		
clima > Calefacción y ventilación	group	climate-heating-and-ventilation	Calefacción y ventilación			Heizung und Lüftung			Heating and ventilation		
Sistemas climáticos > aire acondicionado	group	climate-systems-air-conditioning	aire acondicionado			Klimaanlage			air conditioning		
Sistemas climáticos > Tuberías y mangueras	group	climate-systems-pipes-and-hoses	Tuberías y mangueras			Rohre und Schläuche			Pipes and hoses		
enfriamiento > enfriamiento	group	cooling-cooling	enfriamiento			Kühlung			cooling		
Aceites y líquidos > Aceites y líquidos	group	oils-liquids-oils-liquids	Aceites y líquidos			Öle & Flüssigkeiten			Oils & Liquids		
Ruedas y neumáticos > Neumáticos y productos relacionados	group	tires-tires-and-related-products	Neumáticos y productos relacionados			Reifen und verwandte Produkte			Tires and related products		
Unidad de motor > filtrar	group	engine-unit-filter	filtrar	filtrar					filter		
Unidad de motor > engine-unit-motor	group	engine-unit-motor							Motor		
Unidad de motor > Sistema de encendido y sistema de bujías incandescentes	group	engine-unit-ignition-system-glow-plug-system	Sistema de encendido y sistema de bujías incandescentes	sistema de encendido y sistema de bujías incandescentes		Zündanlage & Glühanlage	zündanlage & glühanlage		Ignition system & glow plug system	ignition system & glow plug system	
Unidad de motor > Correas, cadenas, poleas	group	engine-unit-belts-chains-pulleys	Correas, cadenas, poleas	correas cadenas poleas		Riemen, Ketten, Rollen	riemen ketten rollen		Belts, chains, pulleys	belts chains pulleys	
Unidad de motor > Calefacción y ventilación	group	engine-unit-heating-and-ventilation	Calefacción y ventilación	calefacción y ventilación		Heizung und Lüftung	heizung und lüftung		Heating and ventilation	heating and ventilation	
Unidad de motor > Sellos y anillos de sellado	group	engine-unit-seals-and-sealing-rings	Sellos y anillos de sellado	sellos y anillos de sellado		Dichtungen und Dichtringe	dichtungen und dichtringe		Seals and sealing rings	seals and sealing rings	
Unidad de motor > escape	group	engine-unit-exhaust	escape	escape		Auspuff	auspuff		exhaust	exhaust	
Unidad de motor > Sistema de combustible	group	engine-unit-fuel-system	Sistema de combustible	sistema de combustible		Kraftstoffsystem	kraftstoffsystem		Fuel system	fuel system	
Unidad de motor > Ejes y juntas de la unidad del motor	group	engine-unit-engine-unit-shafts-joints	Ejes y juntas de la unidad del motor	ejes y juntas de la unidad del motor		Triebwerkseinheitswellen & Gelenke	triebwerkseinheitswellen & gelenke		Engine unit shafts & joints	engine unit shafts & joints	
Unidad de motor > Kits de reparación	group	engine-unit-repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Unidad de motor > Tuberías y mangueras	group	engine-unit-pipes-and-hoses	Tuberías y mangueras	tuberías y mangueras		Rohre und Schläuche	rohre und schläuche		Pipes and hoses	pipes and hoses	
sistema eléctrico > sistema eléctrico	group	electrical-system	sistema eléctrico		Electricidad	Elektrik		Elektrik	electrical system		Electrical system
Carrocería > cuerpo	group	body	cuerpo			Karosserie			body		
sistema eléctrico > Unidades de control, sensores, relés	group	control-units-sensors-relays	Unidades de control, sensores, relés	unidades de control sensores relés		Steuergeräte, Sensoren, Relais	steuergeräte sensoren relais		Control units, sensors, relays	control units sensors relays	
Suspensión > Suspensión de ruedas y manillar	group	wheel-suspension-handlebars	Suspensión de ruedas y manillar	suspensión de ruedas y manillar		Radaufhängung & Lenker	radaufhängung & lenker		Wheel suspension & handlebars	wheel suspension & handlebars	
Unidad de motor > Ejes y juntas de la unidad del motor	group	engine-unit-shafts-joints	Ejes y juntas de la unidad del motor	ejes y juntas de la unidad del motor		Triebwerkseinheitswellen & Gelenke	triebwerkseinheitswellen & gelenke		Engine unit shafts & joints	engine unit shafts & joints	
Chasis y dirección > Enganche de remolque y accesorios	group	towbar-and-accessories	Enganche de remolque y accesorios	enganche de remolque y accesorios		Anhängerkupplung und Zubehör	anhängerkupplung und zubehör		Towbar and accessories	towbar and accessories	
Unidad de motor > Sellos y anillos de sellado	group	seals-and-sealing-rings	Sellos y anillos de sellado	sellos y anillos de sellado		Dichtungen und Dichtringe	dichtungen und dichtringe		Seals and sealing rings	seals and sealing rings	
Unidad de motor > escape	group	exhaust	escape	escape		Auspuff	auspuff		exhaust	exhaust	
Chasis y dirección > Almacenamiento	group	storage	Almacenamiento	almacenamiento		Lager	lager		Storage	storage	
Transmisión > Embrague/accesorios	group	clutch-attachments	Embrague/accesorios	embrague accesorios		Kupplung/-anbauteile	kupplung -anbauteile		Clutch/attachments	clutch attachments	
Unidad de motor > filtrar	group	filter	filtrar	filtrar					filter		
Transmisión > Ejes cardán y diferencial	group	cardan-shafts-differential	Ejes cardán y diferencial	ejes cardán y diferencial		Kardanwellen & Differential	kardanwellen & differential		Cardan shafts & differential	cardan shafts & differential	
Aceites y líquidos > Aceites y líquidos	group	oils-liquids	Aceites y líquidos			Öle & Flüssigkeiten			Oils & Liquids		
Chasis y dirección > gobierno	group	steering	gobierno	gobierno		Lenkung	lenkung		steering	steering	
Interior > interior	group	interior				Innenraum			interior		
Unidad de motor > Sistema de combustible	group	fuel-system	Sistema de combustible	sistema de combustible	Sistema de combustible	Kraftstoffsystem	kraftstoffsystem	Kraftstoffsystem	Fuel system	fuel system	Fuel system
enfriamiento > enfriamiento	group	cooling	enfriamiento			Kühlung			cooling		
Unidad de motor > motor	group	motor							Motor		
Unidad de motor > Correas, cadenas, poleas	group	belts-chains-pulleys	Correas, cadenas, poleas	correas cadenas poleas	Correas, cadenas y poleas	Riemen, Ketten, Rollen	riemen ketten rollen	Riemen, Ketten, Rollen	Belts, chains, pulleys	belts chains pulleys	Belts, chains, pulleys
Unidad de motor > Sistema de encendido y sistema de bujías incandescentes	group	ignition-system-glow-plug-system	Sistema de encendido y sistema de bujías incandescentes	sistema de encendido y sistema de bujías incandescentes		Zündanlage & Glühanlage	zündanlage & glühanlage		Ignition system & glow plug system	ignition system & glow plug system	
Sistemas climáticos > aire acondicionado	group	air-conditioning	aire acondicionado	aire|acondicionado	Aire acondicionado	Klimaanlage	klimaanlage	Klimaanlage	air conditioning	air|conditioning	Air conditioning
Unidad de motor > Calefacción y ventilación	group	heating-and-ventilation	Calefacción y ventilación	calefacción y ventilación	Calefacción y ventilación	Heizung und Lüftung	heizung und lüftung	Heizung und Lüftung	Heating and ventilation	heating and ventilation	Heating and ventilation
Unidad de motor > Tuberías y mangueras	group	pipes-and-hoses	Tuberías y mangueras	tuberías y mangueras		Rohre und Schläuche	rohre und schläuche		Pipes and hoses	pipes and hoses	
Unidad de motor > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Sistemas climáticos > Tuberías y mangueras	group	pipes-and-hoses	Tuberías y mangueras	tuber|as|y|mangueras	Tuberías y mangueras	Rohre und Schläuche	rohre|und|schl|uche	Rohre und Schläuche	Pipes and hoses	pipes|and|hoses	Pipes and hoses
Carrocería > Sistema lavaparabrisas	group	windscreen-washer-system	Sistema lavaparabrisas			Scheibenwaschanlage			Windscreen washer system		
sistema eléctrico > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación		Reparatursätze	reparatursätze		Repair kits	repair kits	
Chasis y dirección > Kits de reparación	group	repair-kits	Kits de reparación	kits de reparación	Kits de reparación	Reparatursätze	reparatursätze	Reparatursätze	Repair kits	repair kits	Repair kits
Frenos > Freno de disco	group	disc-brakes	Freno de disco	freno de disco					Disc brakes	disc brakes	
Frenos > Freno de tambor	group	drum-brakes	Freno de tambor	freno de tambor|tambor de freno|frenos de tambor			trommelbremse		Drum brakes	drum brake	
Frenos > Freno de mano	group	parking-brake	Freno de mano	freno de mano|freno mano|freno de estacionamiento			handbremse|feststellbremse		Parking brake	handbrake|parking brake	
Frenos > Sistema hidráulico de frenos	group	hydraulic-brake-system	Sistema hidráulico de frenos	sistema hidráulico de frenos					Hydraulic system	hydraulic system	
Frenos > ABS y control de tracción	group	abs-and-traction-control	ABS y control de tracción	abs y control de tracción					ABS and traction control	abs and traction control	
Frenos > Servofreno	group	brake-booster	Servofreno	servofreno					Brake booster	brake booster	
Ruedas y neumáticos > Llantas	group	wheels	Llantas						Wheels		
Ruedas y neumáticos > Neumáticos	group	tires	Neumáticos						Tires		
Ruedas y neumáticos > Bujes y rodamientos	group	hubs-and-bearings	Bujes y rodamientos						Hubs and bearings		
Ruedas y neumáticos > Tornillería y valvulería de rueda	group	wheel-hardware-and-valves	Tornillería y valvulería de rueda						Wheel hardware and valves		
Ruedas y neumáticos > Accesorios de rueda	group	wheel-accessories	Accesorios de rueda						Wheel accessories		
Brake pads	category	brake-pads		pastillas de freno|pastillas freno|pastillas|balatas|ferodos			bremsbeläge|bremsklötze|bremsbelag|bremsklotz		Brake pads	brake pads|brake pad|disc pads	Brake pads
Frenos > frenos > Discos de freno y componentes	category	brake-discs-and-related-parts	Discos de freno y componentes	discos de freno y componentes	Discos de freno y componentes	Bremsscheiben und zugehörige Bauteile	bremsscheiben und zugehörige bauteile	Bremsscheiben und zugehörige Bauteile	Brake discs and related parts	brake discs and related parts	Brake discs and related parts
Frenos > frenos > Frenos de tambor y componentes	category	drum-brakes-and-related-parts	Frenos de tambor y componentes	frenos de tambor y componentes	Frenos de tambor y componentes	Trommelbremsen und zugehörige Bauteile	trommelbremsen und zugehörige bauteile	Trommelbremsen und zugehörige Bauteile	Drum brakes and related parts	drum brakes and related parts	Drum brakes and related parts
Frenos > frenos > Pinzas de freno y componentes	category	brake-calipers-and-related-parts	Pinzas de freno y componentes	pinzas de freno y componentes	Pinzas de freno y componentes	Bremssattel und zugehörige Bauteile	bremssattel und zugehörige bauteile	Bremssattel und zugehörige Bauteile	Brake calipers and related parts	brake calipers and related parts	Brake calipers and related parts
Frenos > frenos > Frenos de tambor y componentes	category	zubehorsatz-bremsbacken	Frenos de tambor y componentes	frenos de tambor y componentes					Zubehörsatz, Bremsbacken	zubehörsatz bremsbacken	
Frenos > frenos > Frenos de mano y componentes	category	handbrakes-and-related-parts	Frenos de mano y componentes	frenos de mano y componentes	Frenos de mano y componentes	Handbremsen und zugehörige Bauteile	handbremsen und zugehörige bauteile	Handbremsen und zugehörige Bauteile	Handbrakes and related parts	handbrakes and related parts	Handbrakes and related parts
Frenos > Kits de reparación > Componentes del sistema de frenos	category	brake-system-components	Componentes del sistema de frenos	componentes del sistema de frenos	Componentes del sistema de frenos	Bauteile der Bremsen	bauteile der bremsen	Bauteile der Bremsen	Brake system components	brake system components	Brake system components
Frenos > Tuberías y mangueras > Componentes del sistema de frenos	category	brake-system-components	Componentes del sistema de frenos	componentes del sistema de frenos	Componentes del sistema de frenos	Bauteile der Bremsen	bauteile der bremsen	Bauteile der Bremsen	Brake system components	brake system components	Brake system components
Sistema eléctrico > Electricidad > Componentes del sistema de arranque y carga	category	starting-and-charging-system-components	Componentes del sistema de arranque y carga	componentes del sistema de arranque y carga	Componentes del sistema de arranque y carga	Bauteile des Start- und Ladesystems	bauteile des start- und ladesystems	Bauteile des Start- und Ladesystems	Starting and charging system components	starting and charging system components	Starting and charging system components
Sistema eléctrico > Electricidad > Lámparas	category	bulbs	Lámparas	lámparas	Lámparas	Glühlampen	glühlampen	Glühlampen	Bulbs	bulbs	Bulbs
Sistema eléctrico > Electricidad > Componentes del sistema de frenos	category	brake-system-components	Componentes del sistema de frenos	componentes del sistema de frenos	Componentes del sistema de frenos	Bauteile der Bremsen	bauteile der bremsen	Bauteile der Bremsen	Brake system components	brake system components	Brake system components
Sistema eléctrico > Electricidad > Componentes del sistema de encendido	category	ignition-system-components	Componentes del sistema de encendido	componentes del sistema de encendido	Componentes del sistema de encendido	Bauteile der Zündanlage	bauteile der zündanlage	Bauteile der Zündanlage	Ignition system components	ignition system components	Ignition system components
Sistema eléctrico > Electricidad > Componentes del sistema de refrigeración	category	cooling-system-components	Componentes del sistema de refrigeración	componentes del sistema de refrigeración	Componentes del sistema de refrigeración	Bauteile der Kühlung	bauteile der kühlung	Bauteile der Kühlung	Cooling system components	cooling system components	Cooling system components
Sistema eléctrico > Electricidad > Componentes de la carrocería y del sistema de confort	category	body-and-comfort-system-components	Componentes de la carrocería y del sistema de confort	componentes de la carrocería y del sistema de confort	Componentes de la carrocería y del sistema de confort	Bauteile der Karosserie und des Komfortsystems	bauteile der karosserie und des komfortsystems	Bauteile der Karosserie und des Komfortsystems	Body and comfort system components	body and comfort system components	Body and comfort system components
Sistema eléctrico > Electricidad > Componentes del sistema de lubricación	category	lubrication-system-components	Componentes del sistema de lubricación	componentes del sistema de lubricación	Componentes del sistema de lubricación	Bauteile des Schmiersystems	bauteile des schmiersystems	Bauteile des Schmiersystems	Lubrication system components	lubrication system components	Lubrication system components
Sistema eléctrico > Unidades de control, sensores y relés > Componentes del sistema de refrigeración	category	cooling-system-components	Componentes del sistema de refrigeración	componentes del sistema de refrigeración	Componentes del sistema de refrigeración	Bauteile der Kühlung	bauteile der kühlung	Bauteile der Kühlung	Cooling system components	cooling system components	Cooling system components
Sistema eléctrico > Unidades de control, sensores y relés > Componentes del sistema de frenos	category	brake-system-components	Componentes del sistema de frenos	componentes del sistema de frenos	Componentes del sistema de frenos	Bauteile der Bremsen	bauteile der bremsen	Bauteile der Bremsen	Brake system components	brake system components	Brake system components
Sistema eléctrico > Unidades de control, sensores y relés > Componentes del sistema de encendido	category	ignition-system-components	Componentes del sistema de encendido	componentes del sistema de encendido	Componentes del sistema de encendido	Bauteile der Zündanlage	bauteile der zündanlage	Bauteile der Zündanlage	Ignition system components	ignition system components	Ignition system components
Sistema eléctrico > Unidades de control, sensores y relés > Componentes del sistema de lubricación	category	lubrication-system-components	Componentes del sistema de lubricación	componentes del sistema de lubricación	Componentes del sistema de lubricación	Bauteile des Schmiersystems	bauteile des schmiersystems	Bauteile des Schmiersystems	Lubrication system components	lubrication system components	Lubrication system components
Sistema eléctrico > Unidades de control, sensores y relés > Alternadores y componentes asociados	category	alternators-and-related-components	Alternadores y componentes asociados	alternadores y componentes asociados	Alternadores y componentes asociados	Lichtmaschinen und zugehörige Bauteile	lichtmaschinen und zugehörige bauteile	Lichtmaschinen und zugehörige Bauteile	Alternators and related components	alternators and related components	Alternators and related components
